home_team,away_team,tournament,city,country,neutral,year
Turkey,Russia,UEFA Euro qualification,Fethiye,Turkey,False,2015
Serbia,Bosnia and Herzegovina,UEFA Euro qualification,Stara Pazova,Serbia,False,2015
Macedonia,Belarus,UEFA Euro qualification,Skopje,Macedonia,False,2015
Republic of Ireland,Spain,UEFA Euro qualification,Dublin,Republic of Ireland,False,2015
Portugal,Montenegro,UEFA Euro qualification,Estoril,Portugal,False,2015
Slovakia,Denmark,UEFA Euro qualification,Senec,Slovakia,False,2015
Wales,Kazakhstan,UEFA Euro qualification,Haverfordwest,Wales,False,2015
Greece,Romania,UEFA Euro qualification,Katerini,Greece,False,2015
Albania,France,UEFA Euro qualification,Tirana,Albania,False,2015
Moldova,Poland,UEFA Euro qualification,Orhei,Moldova,False,2015
Northern Ireland,Switzerland,UEFA Euro qualification,Lurgan,Northern Ireland,False,2015
Scotland,Macedonia,UEFA Euro qualification,Paisley,Scotland,False,2015
Hungary,Russia,UEFA Euro qualification,Felcsút,Hungary,False,2015
England,Bosnia and Herzegovina,UEFA Euro qualification,Bristol,England,False,2015
Croatia,Turkey,UEFA Euro qualification,Rijeka,Croatia,False,2015
Belgium,Serbia,UEFA Euro qualification,Leuven,Belgium,False,2015
Spain,Portugal,UEFA Euro qualification,Badajoz,Spain,False,2015
Greece,France,UEFA Euro qualification,Katerini,Greece,False,2015
Moldova,Slovakia,UEFA Euro qualification,Orhei,Moldova,False,2015
Switzerland,Czech Republic,UEFA Euro qualification,Neuchâtel,Switzerland,False,2015
Israel,Wales,UEFA Euro qualification,Ramat Gan,Israel,False,2015
United States,Trinidad and Tobago,Friendly,Honolulu,United States,False,2015
United States,Trinidad and Tobago,Friendly,San Antonio,United States,False,2015
United States,China PR,Friendly,Glendale,United States,False,2015
United States,China PR,Friendly,New Orleans,United States,False,2015
China PR,Mexico,Four Nations Tournament,Foshan,China PR,False,2016
South Korea,Vietnam,Four Nations Tournament,Foshan,China PR,True,2016
Mexico,South Korea,Four Nations Tournament,Foshan,China PR,True,2016
China PR,Vietnam,Four Nations Tournament,Foshan,China PR,False,2016
United States,Republic of Ireland,Friendly,San Diego,United States,False,2016
Montenegro,Spain,UEFA Euro qualification,Petrovac,Montenegro,False,2016
Greece,Albania,UEFA Euro qualification,Trikala,Greece,False,2016
China PR,South Korea,Four Nations Tournament,Foshan,China PR,False,2016
Mexico,Vietnam,Four Nations Tournament,Foshan,China PR,True,2016
United States,Costa Rica,Olympic Games qualification,Frisco,United States,False,2016
United States,Mexico,Olympic Games qualification,Frisco,United States,False,2016
United States,Puerto Rico,Olympic Games qualification,Frisco,United States,False,2016
United States,Trinidad and Tobago,Olympic Games qualification,Houston,United States,False,2016
United States,Canada,Olympic Games qualification,Houston,United States,False,2016
Iceland,Belgium,Algarve Cup,Lagos,Portugal,True,2016
Canada,Denmark,Algarve Cup,Albufeira,Portugal,True,2016
Portugal,Russia,Algarve Cup,Albufeira,Portugal,False,2016
Brazil,New Zealand,Algarve Cup,Lagos,Portugal,True,2016
Austria,Republic of Ireland,Cyprus Cup,Deryneia,Cyprus,True,2016
Hungary,Italy,Cyprus Cup,Deryneia,Cyprus,True,2016
Wales,Finland,Cyprus Cup,Larnaca,Cyprus,True,2016
Poland,Czech Republic,Cyprus Cup,Larnaca,Cyprus,True,2016
Germany,France,SheBelieves Cup,Tampa,United States,True,2016
United States,England,SheBelieves Cup,Tampa,United States,False,2016
Tanzania,Zimbabwe,African Championship qualification,Dar es Salaam,Tanzania,False,2016
Albania,Ukraine,UEFA Euro qualification,Elbasan,Albania,False,2016
Canada,Belgium,Algarve Cup,Vila Real de Santo António,Portugal,True,2016
Denmark,Iceland,Algarve Cup,Parchal,Portugal,True,2016
New Zealand,Russia,Algarve Cup,Parchal,Portugal,True,2016
Portugal,Brazil,Algarve Cup,Vila Real de Santo António,Portugal,False,2016
Austria,Hungary,Cyprus Cup,Larnaca,Cyprus,True,2016
Italy,Republic of Ireland,Cyprus Cup,Larnaca,Cyprus,True,2016
Wales,Poland,Cyprus Cup,Paralimni,Cyprus,True,2016
Finland,Czech Republic,Cyprus Cup,Paralimni,Cyprus,True,2016
Mali,Morocco,African Championship qualification,Bamako,Mali,False,2016
Senegal,Guinea,African Championship qualification,Dakar,Senegal,False,2016
Burkina Faso,Tunisia,African Championship qualification,Ouagadougou,Burkina Faso,False,2016
Botswana,Mauritius,African Championship qualification,Lobatse,Botswana,False,2016
Zambia,Namibia,African Championship qualification,Lusaka,Zambia,False,2016
Libya,Egypt,African Championship qualification,Sousse,Libya,False,2016
Algeria,Ethiopia,African Championship qualification,Algiers,Algeria,False,2016
United States,France,SheBelieves Cup,Nashville,United States,False,2016
Germany,England,SheBelieves Cup,Nashville,United States,True,2016
Denmark,Belgium,Algarve Cup,Albufeira,Portugal,True,2016
Canada,Iceland,Algarve Cup,Lagos,Portugal,True,2016
Brazil,Russia,Algarve Cup,Lagos,Portugal,True,2016
Portugal,New Zealand,Algarve Cup,Albufeira,Portugal,False,2016
Italy,Austria,Cyprus Cup,Larnaca,Cyprus,True,2016
Republic of Ireland,Hungary,Cyprus Cup,Paralimni,Cyprus,True,2016
Finland,Poland,Cyprus Cup,Larnaca,Cyprus,True,2016
Czech Republic,Wales,Cyprus Cup,Paralimni,Cyprus,True,2016
Greece,Ukraine,UEFA Euro qualification,Athens,Greece,False,2016
Portugal,Denmark,Algarve Cup,Parchal,Portugal,False,2016
Belgium,Russia,Algarve Cup,Vila Real de Santo António,Portugal,True,2016
Iceland,New Zealand,Algarve Cup,Vila Real de Santo António,Portugal,True,2016
Canada,Brazil,Algarve Cup,Parchal,Portugal,True,2016
France,England,SheBelieves Cup,Boca Raton,United States,True,2016
United States,Germany,SheBelieves Cup,Boca Raton,United States,False,2016
Republic of Ireland,Finland,Cyprus Cup,Paralimni,Cyprus,True,2016
Hungary,Wales,Cyprus Cup,Paralimni,Cyprus,True,2016
Italy,Czech Republic,Cyprus Cup,Larnaca,Cyprus,True,2016
Austria,Poland,Cyprus Cup,Larnaca,Cyprus,True,2016
Namibia,Zambia,African Championship qualification,Windhoek,Namibia,False,2016
Morocco,Mali,African Championship qualification,Salé,Morocco,False,2016
Guinea,Senegal,African Championship qualification,Conakry,Guinea,False,2016
Tunisia,Burkina Faso,African Championship qualification,Oued Ellil,Tunisia,False,2016
Mauritius,Botswana,African Championship qualification,Curepipe,Mauritius,False,2016
Zimbabwe,Tanzania,African Championship qualification,Harare,Zimbabwe,False,2016
Egypt,Libya,African Championship qualification,Cairo,Egypt,False,2016
Ethiopia,Algeria,African Championship qualification,Addis Ababa,Ethiopia,False,2016
Israel,Norway,UEFA Euro qualification,Ramat Gan,Israel,False,2016
Austria,Kazakhstan,UEFA Euro qualification,Steyr,Austria,False,2016
Mali,Equatorial Guinea,African Championship qualification,Bamako,Mali,False,2016
Zimbabwe,Zambia,African Championship qualification,Harare,Zimbabwe,False,2016
Tunisia,Ghana,African Championship qualification,Oued Ellil,Tunisia,False,2016
United States,Colombia,Friendly,East Hartford,United States,False,2016
Montenegro,Republic of Ireland,UEFA Euro qualification,Petrovac,Montenegro,False,2016
Poland,Denmark,UEFA Euro qualification,Tychy,Poland,False,2016
Egypt,Ivory Coast,African Championship qualification,Cairo,Egypt,False,2016
Scotland,Slovenia,UEFA Euro qualification,Paisley,Scotland,False,2016
Portugal,Spain,UEFA Euro qualification,Covilhã,Portugal,False,2016
Ukraine,Albania,UEFA Euro qualification,Lviv,Ukraine,False,2016
Romania,France,UEFA Euro qualification,Pitești,Romania,False,2016
Slovakia,Sweden,UEFA Euro qualification,Poprad,Slovakia,False,2016
Turkey,Germany,UEFA Euro qualification,Istanbul,Turkey,False,2016
Hungary,Croatia,UEFA Euro qualification,Győr,Hungary,False,2016
England,Belgium,UEFA Euro qualification,Rotherham,England,False,2016
Algeria,Kenya,African Championship qualification,Algiers,Algeria,False,2016
Senegal,Nigeria,African Championship qualification,Dakar,Senegal,False,2016
Switzerland,Italy,UEFA Euro qualification,Biel/Bienne,Switzerland,False,2016
Botswana,South Africa,African Championship qualification,Lobatse,Botswana,False,2016
United States,Colombia,Friendly,Chester,United States,False,2016
Austria,Norway,UEFA Euro qualification,Steyr,Austria,False,2016
Equatorial Guinea,Mali,African Championship qualification,Malabo,Equatorial Guinea,False,2016
Zambia,Zimbabwe,African Championship qualification,Lusaka,Zambia,False,2016
France,Ukraine,UEFA Euro qualification,Valenciennes,France,False,2016
Ivory Coast,Egypt,African Championship qualification,Abidjan,Ivory Coast,False,2016
Belarus,Iceland,UEFA Euro qualification,Minsk,Belarus,False,2016
Slovenia,Macedonia,UEFA Euro qualification,Lendava,Slovenia,False,2016
Montenegro,Finland,UEFA Euro qualification,Petrovac,Montenegro,False,2016
Spain,Republic of Ireland,UEFA Euro qualification,Las Rozas de Madrid,Spain,False,2016
Slovakia,Poland,UEFA Euro qualification,Poprad,Slovakia,False,2016
Germany,Croatia,UEFA Euro qualification,Osnabrück,Germany,False,2016
Russia,Hungary,UEFA Euro qualification,Saint Petersburg,Russia,False,2016
Czech Republic,Georgia,UEFA Euro qualification,Opava,Czech Republic,False,2016
Italy,Northern Ireland,UEFA Euro qualification,Reggio Emilia,Italy,False,2016
Bosnia and Herzegovina,England,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,2016
Belgium,Estonia,UEFA Euro qualification,Leuven,Belgium,False,2016
Kazakhstan,Wales,UEFA Euro qualification,Shymkent,Kazakhstan,False,2016
Kenya,Algeria,African Championship qualification,Nairobi,Kenya,False,2016
Nigeria,Senegal,African Championship qualification,Abuja,Nigeria,False,2016
Ghana,Tunisia,African Championship qualification,Accra,Ghana,False,2016
South Africa,Botswana,African Championship qualification,Tembisa,South Africa,False,2016
Albania,Romania,UEFA Euro qualification,Elbasan,Albania,False,2016
Poland,Sweden,UEFA Euro qualification,Łódź,Poland,False,2016
Denmark,Slovakia,UEFA Euro qualification,Viborg,Denmark,False,2016
Russia,Turkey,UEFA Euro qualification,Khimki,Russia,False,2016
Kazakhstan,Israel,UEFA Euro qualification,Shymkent,Kazakhstan,False,2016
Norway,Austria,UEFA Euro qualification,Oslo,Norway,False,2016
United States,Japan,Friendly,Denver,United States,False,2016
Macedonia,Slovenia,UEFA Euro qualification,Skopje,Macedonia,False,2016
Scotland,Iceland,UEFA Euro qualification,Falkirk,Scotland,False,2016
Finland,Republic of Ireland,UEFA Euro qualification,Valkeakoski,Finland,False,2016
Montenegro,Portugal,UEFA Euro qualification,Petrovac,Montenegro,False,2016
France,Greece,UEFA Euro qualification,Rennes,France,False,2016
Northern Ireland,Georgia,UEFA Euro qualification,Belfast,Northern Ireland,False,2016
Estonia,Belgium,UEFA Euro qualification,Tartu,Estonia,False,2016
Czech Republic,Switzerland,UEFA Euro qualification,Jablonec nad Nisou,Czech Republic,False,2016
England,Serbia,UEFA Euro qualification,Wycombe,England,False,2016
United States,Japan,Friendly,Cleveland,United States,False,2016
Sweden,Moldova,UEFA Euro qualification,Gothenburg,Sweden,False,2016
Turkey,Hungary,UEFA Euro qualification,Antalya,Turkey,False,2016
Croatia,Russia,UEFA Euro qualification,Koprivnica,Croatia,False,2016
Estonia,Bosnia and Herzegovina,UEFA Euro qualification,Tartu,Estonia,False,2016
Austria,Israel,UEFA Euro qualification,Horn,Austria,False,2016
Belarus,Scotland,UEFA Euro qualification,Minsk,Belarus,False,2016
Iceland,Macedonia,UEFA Euro qualification,Reykjavík,Iceland,False,2016
Finland,Portugal,UEFA Euro qualification,Helsinki,Finland,False,2016
Republic of Ireland,Montenegro,UEFA Euro qualification,Dublin,Republic of Ireland,False,2016
Ukraine,Greece,UEFA Euro qualification,Lviv,Ukraine,False,2016
Denmark,Poland,UEFA Euro qualification,Viborg,Denmark,False,2016
Georgia,Italy,UEFA Euro qualification,Gori,Georgia,False,2016
Czech Republic,Northern Ireland,UEFA Euro qualification,Jablonec nad Nisou,Czech Republic,False,2016
Serbia,England,UEFA Euro qualification,Stara Pazova,Serbia,False,2016
Wales,Norway,UEFA Euro qualification,Newport,Wales,False,2016
United States,South Africa,Friendly,Chicago,United States,False,2016
United States,Costa Rica,Friendly,Kansas City,United States,False,2016
Northern Ireland,Czech Republic,UEFA Euro qualification,Lurgan,Northern Ireland,False,2016
Sweden,South Africa,Olympic Games,Rio de Janeiro,Brazil,True,2016
Brazil,China PR,Olympic Games,Rio de Janeiro,Brazil,False,2016
Canada,Australia,Olympic Games,São Paulo,Brazil,True,2016
Zimbabwe,Germany,Olympic Games,São Paulo,Brazil,True,2016
United States,New Zealand,Olympic Games,Belo Horizonte,Brazil,True,2016
France,Colombia,Olympic Games,Belo Horizonte,Brazil,True,2016
South Africa,China PR,Olympic Games,Rio de Janeiro,Brazil,True,2016
Brazil,Sweden,Olympic Games,Rio de Janeiro,Brazil,False,2016
Canada,Zimbabwe,Olympic Games,São Paulo,Brazil,True,2016
Germany,Australia,Olympic Games,São Paulo,Brazil,True,2016
United States,France,Olympic Games,Belo Horizonte,Brazil,True,2016
Colombia,New Zealand,Olympic Games,Belo Horizonte,Brazil,True,2016
Brazil,South Africa,Olympic Games,Manaus,Brazil,False,2016
China PR,Sweden,Olympic Games,Brasília,Brazil,True,2016
Germany,Canada,Olympic Games,Brasília,Brazil,True,2016
Australia,Zimbabwe,Olympic Games,Salvador,Brazil,True,2016
Colombia,United States,Olympic Games,Manaus,Brazil,True,2016
New Zealand,France,Olympic Games,Salvador,Brazil,True,2016
United States,Sweden,Olympic Games,Brasília,Brazil,True,2016
China PR,Germany,Olympic Games,Salvador,Brazil,True,2016
Canada,France,Olympic Games,São Paulo,Brazil,True,2016
Brazil,Australia,Olympic Games,Belo Horizonte,Brazil,False,2016
Brazil,Sweden,Olympic Games,Rio de Janeiro,Brazil,False,2016
Canada,Germany,Olympic Games,Belo Horizonte,Brazil,True,2016
Brazil,Canada,Olympic Games,São Paulo,Brazil,False,2016
Sweden,Germany,Olympic Games,Rio de Janeiro,Brazil,True,2016
Belarus,Macedonia,UEFA Euro qualification,Minsk,Belarus,False,2016
Spain,Montenegro,UEFA Euro qualification,Las Rozas de Madrid,Spain,False,2016
Romania,Ukraine,UEFA Euro qualification,Cluj-Napoca,Romania,False,2016
Sweden,Slovakia,UEFA Euro qualification,Gothenburg,Sweden,False,2016
Moldova,Denmark,UEFA Euro qualification,Chișinău,Moldova,False,2016
Georgia,Switzerland,UEFA Euro qualification,Gori,Georgia,False,2016
Serbia,Belgium,UEFA Euro qualification,Stara Pazova,Serbia,False,2016
England,Estonia,UEFA Euro qualification,Nottingham,England,False,2016
Norway,Kazakhstan,UEFA Euro qualification,Molde,Norway,False,2016
Wales,Israel,UEFA Euro qualification,Newport,Wales,False,2016
United States,Thailand,Friendly,Columbus,United States,False,2016
Iceland,Slovenia,UEFA Euro qualification,Reykjavík,Iceland,False,2016
Portugal,Finland,UEFA Euro qualification,Trofa,Portugal,False,2016
Russia,Germany,UEFA Euro qualification,Khimki,Russia,False,2016
Northern Ireland,Italy,UEFA Euro qualification,Lurgan,Northern Ireland,False,2016
United States,Netherlands,Friendly,Atlanta,United States,False,2016
Norway,Israel,UEFA Euro qualification,Ulsteinvik,Norway,False,2016
Belarus,Slovenia,UEFA Euro qualification,Minsk,Belarus,False,2016
Iceland,Scotland,UEFA Euro qualification,Reykjavík,Iceland,False,2016
Spain,Finland,UEFA Euro qualification,Leganés,Spain,False,2016
Republic of Ireland,Portugal,UEFA Euro qualification,Dublin,Republic of Ireland,False,2016
Romania,Greece,UEFA Euro qualification,Cluj-Napoca,Romania,False,2016
France,Albania,UEFA Euro qualification,Paris,France,False,2016
Poland,Moldova,UEFA Euro qualification,Włocławek,Poland,False,2016
Denmark,Sweden,UEFA Euro qualification,Viborg,Denmark,False,2016
Hungary,Germany,UEFA Euro qualification,Győr,Hungary,False,2016
Russia,Croatia,UEFA Euro qualification,Khimki,Russia,False,2016
Switzerland,Northern Ireland,UEFA Euro qualification,Biel/Bienne,Switzerland,False,2016
Italy,Czech Republic,UEFA Euro qualification,Vercelli,Italy,False,2016
Bosnia and Herzegovina,Serbia,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,2016
Belgium,England,UEFA Euro qualification,Leuven,Belgium,False,2016
Wales,Austria,UEFA Euro qualification,Newport,Wales,False,2016
United States,Switzerland,Friendly,Sandy,United States,False,2016
Portugal,Romania,UEFA Euro qualification,Lisbon,Portugal,False,2016
United States,Switzerland,Friendly,Minneapolis,United States,False,2016
Romania,Portugal,UEFA Euro qualification,Cluj-Napoca,Romania,False,2016
United States,Romania,Friendly,San Jose,United States,False,2016
United States,Romania,Friendly,Carson,United States,False,2016
Cameroon,Egypt,African Championship,Yaoundé,Cameroon,False,2016
South Africa,Zimbabwe,African Championship,Yaoundé,Cameroon,True,2016
Nigeria,Mali,African Championship,Limbe,Cameroon,True,2016
Ghana,Kenya,African Championship,Limbe,Cameroon,True,2016
Cameroon,South Africa,African Championship,Yaoundé,Cameroon,False,2016
Zimbabwe,Egypt,African Championship,Yaoundé,Cameroon,True,2016
Nigeria,Ghana,African Championship,Limbe,Cameroon,True,2016
Kenya,Mali,African Championship,Limbe,Cameroon,True,2016
Cameroon,Zimbabwe,African Championship,Yaoundé,Cameroon,False,2016
Egypt,South Africa,African Championship,Limbe,Cameroon,True,2016
Kenya,Nigeria,African Championship,Limbe,Cameroon,True,2016
Mali,Ghana,African Championship,Yaoundé,Cameroon,True,2016
Cameroon,Ghana,African Championship,Yaoundé,Cameroon,False,2016
Nigeria,South Africa,African Championship,Limbe,Cameroon,True,2016
Ghana,South Africa,African Championship,Yaoundé,Cameroon,True,2016
Cameroon,Nigeria,African Championship,Yaoundé,Cameroon,False,2016
Myanmar,Ukraine,Four Nations Tournament,Foshan,China PR,True,2017
China PR,Thailand,Four Nations Tournament,Foshan,China PR,False,2017
China PR,Myanmar,Four Nations Tournament,Foshan,China PR,False,2017
Ukraine,Thailand,Four Nations Tournament,Foshan,China PR,True,2017
Thailand,Myanmar,Four Nations Tournament,Foshan,China PR,True,2017
China PR,Ukraine,Four Nations Tournament,Foshan,China PR,False,2017
Portugal,Russia,Algarve Cup,Lagos,Portugal,False,2017
Denmark,Canada,Algarve Cup,Albufeira,Portugal,True,2017
Japan,Spain,Algarve Cup,Parchal,Portugal,True,2017
Norway,Iceland,Algarve Cup,Parchal,Portugal,True,2017
Netherlands,China PR,Algarve Cup,Lagos,Portugal,True,2017
Australia,Sweden,Algarve Cup,Albufeira,Portugal,True,2017
England,France,SheBelieves Cup,Chester,United States,True,2017
United States,Germany,SheBelieves Cup,Chester,United States,False,2017
North Korea,Italy,Cyprus Cup,Larnaca,Cyprus,True,2017
Belgium,Switzerland,Cyprus Cup,Larnaca,Cyprus,True,2017
New Zealand,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2017
South Korea,Austria,Cyprus Cup,Larnaca,Cyprus,True,2017
Czech Republic,Republic of Ireland,Cyprus Cup,Paralimni,Cyprus,True,2017
Hungary,Wales,Cyprus Cup,Paralimni,Cyprus,True,2017
Russia,Canada,Algarve Cup,Estádio Algarve,Portugal,True,2017
Portugal,Denmark,Algarve Cup,Parchal,Portugal,False,2017
Japan,Iceland,Algarve Cup,Parchal,Portugal,True,2017
Spain,Norway,Algarve Cup,Estádio Algarve,Portugal,True,2017
Australia,Netherlands,Algarve Cup,Vila Real de Santo António,Portugal,True,2017
China PR,Sweden,Algarve Cup,Vila Real de Santo António,Portugal,True,2017
Switzerland,North Korea,Cyprus Cup,Larnaca,Cyprus,True,2017
Italy,Belgium,Cyprus Cup,Larnaca,Cyprus,True,2017
Austria,New Zealand,Cyprus Cup,Nicosia,Cyprus,True,2017
Scotland,South Korea,Cyprus Cup,Nicosia,Cyprus,True,2017
Wales,Czech Republic,Cyprus Cup,Paralimni,Cyprus,True,2017
Republic of Ireland,Hungary,Cyprus Cup,Paralimni,Cyprus,True,2017
France,Germany,SheBelieves Cup,Harrison,United States,True,2017
United States,England,SheBelieves Cup,Harrison,United States,False,2017
Russia,Denmark,Algarve Cup,Vila Real de Santo António,Portugal,True,2017
Portugal,Canada,Algarve Cup,Estádio Algarve,Portugal,False,2017
Norway,Japan,Algarve Cup,Estádio Algarve,Portugal,True,2017
Iceland,Spain,Algarve Cup,Vila Real de Santo António,Portugal,True,2017
China PR,Australia,Algarve Cup,Albufeira,Portugal,True,2017
Sweden,Netherlands,Algarve Cup,Lagos,Portugal,True,2017
Italy,Switzerland,Cyprus Cup,Larnaca,Cyprus,True,2017
North Korea,Belgium,Cyprus Cup,Larnaca,Cyprus,True,2017
Austria,Scotland,Cyprus Cup,Larnaca,Cyprus,True,2017
New Zealand,South Korea,Cyprus Cup,Larnaca,Cyprus,True,2017
Republic of Ireland,Wales,Cyprus Cup,Paralimni,Cyprus,True,2017
Czech Republic,Hungary,Cyprus Cup,Paralimni,Cyprus,True,2017
Germany,England,SheBelieves Cup,"Washington, D.C.",United States,True,2017
United States,France,SheBelieves Cup,"Washington, D.C.",United States,False,2017
Portugal,Norway,Algarve Cup,Parchal,Portugal,False,2017
Iceland,China PR,Algarve Cup,Parchal,Portugal,True,2017
Sweden,Russia,Algarve Cup,Albufeira,Portugal,True,2017
Japan,Netherlands,Algarve Cup,Estádio Algarve,Portugal,True,2017
Australia,Denmark,Algarve Cup,Albufeira,Portugal,True,2017
Spain,Canada,Algarve Cup,Estádio Algarve,Portugal,True,2017
Italy,Czech Republic,Cyprus Cup,Larnaca,Cyprus,True,2017
New Zealand,Hungary,Cyprus Cup,Paralimni,Cyprus,True,2017
Belgium,Austria,Cyprus Cup,Larnaca,Cyprus,True,2017
Scotland,Wales,Cyprus Cup,Paralimni,Cyprus,True,2017
North Korea,Republic of Ireland,Cyprus Cup,Larnaca,Cyprus,True,2017
Switzerland,South Korea,Cyprus Cup,Larnaca,Cyprus,True,2017
Bahrain,Jordan,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Tajikistan,Iraq,AFC Asian Cup qualification,Dushanbe,Tajikistan,False,2017
Philippines,United Arab Emirates,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
North Korea,India,AFC Asian Cup qualification,Pyongyang,North Korea,False,2017
Hong Kong,Uzbekistan,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
Palestine,Thailand,AFC Asian Cup qualification,Al-Ram,Palestine,False,2017
Iran,Myanmar,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Singapore,Syria,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Philippines,Iraq,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Tajikistan,Bahrain,AFC Asian Cup qualification,Dushanbe,Tajikistan,False,2017
Jordan,United Arab Emirates,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
North Korea,Hong Kong,AFC Asian Cup qualification,Pyongyang,North Korea,False,2017
India,South Korea,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
Palestine,Taiwan,AFC Asian Cup qualification,Al-Ram,Palestine,False,2017
Singapore,Iran,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Vietnam,Syria,AFC Asian Cup qualification,Hanoi,Vietnam,False,2017
Estonia,Latvia,FIFA World Cup qualification,Tbilisi,Georgia,True,2017
Georgia,Kazakhstan,FIFA World Cup qualification,Tbilisi,Georgia,False,2017
Albania,Kosovo,FIFA World Cup qualification,Elbasan,Albania,False,2017
Greece,Malta,FIFA World Cup qualification,Tirana,Albania,True,2017
Moldova,Andorra,FIFA World Cup qualification,Vilnius,Lithuania,True,2017
Lithuania,Israel,FIFA World Cup qualification,Vilnius,Lithuania,False,2017
Turkey,Montenegro,FIFA World Cup qualification,Tórshavn,Faroe Islands,True,2017
Faroe Islands,Luxembourg,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,2017
United States,Russia,Friendly,Frisco,United States,False,2017
United Arab Emirates,Bahrain,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Tajikistan,Philippines,AFC Asian Cup qualification,Dushanbe,Tajikistan,False,2017
Jordan,Iraq,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
North Korea,South Korea,AFC Asian Cup qualification,Pyongyang,North Korea,False,2017
Uzbekistan,India,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
Thailand,Taiwan,AFC Asian Cup qualification,Al-Ram,Palestine,True,2017
Myanmar,Syria,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Vietnam,Singapore,AFC Asian Cup qualification,Hanoi,Vietnam,False,2017
Kazakhstan,Latvia,FIFA World Cup qualification,Tbilisi,Georgia,True,2017
Georgia,Estonia,FIFA World Cup qualification,Tbilisi,Georgia,False,2017
Greece,Kosovo,FIFA World Cup qualification,Tirana,Albania,True,2017
Albania,Malta,FIFA World Cup qualification,Elbasan,Albania,False,2017
Lithuania,Moldova,FIFA World Cup qualification,Vilnius,Lithuania,False,2017
Israel,Andorra,FIFA World Cup qualification,Vilnius,Lithuania,True,2017
Faroe Islands,Montenegro,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,2017
Turkey,Luxembourg,FIFA World Cup qualification,Tórshavn,Faroe Islands,True,2017
United States,Russia,Friendly,Houston,United States,False,2017
North Korea,Uzbekistan,AFC Asian Cup qualification,Pyongyang,North Korea,False,2017
Hong Kong,South Korea,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
Myanmar,Singapore,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Vietnam,Iran,AFC Asian Cup qualification,Hanoi,Vietnam,False,2017
Iraq,United Arab Emirates,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Tajikistan,Jordan,AFC Asian Cup qualification,Dushanbe,Tajikistan,False,2017
Philippines,Bahrain,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Estonia,Kazakhstan,FIFA World Cup qualification,Tbilisi,Georgia,True,2017
Georgia,Latvia,FIFA World Cup qualification,Tbilisi,Georgia,False,2017
Albania,Greece,FIFA World Cup qualification,Elbasan,Albania,False,2017
Kosovo,Malta,FIFA World Cup qualification,Tirana,Albania,True,2017
Moldova,Israel,FIFA World Cup qualification,Vilnius,Lithuania,True,2017
Lithuania,Andorra,FIFA World Cup qualification,Kaunas,Lithuania,False,2017
Faroe Islands,Turkey,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,2017
Luxembourg,Montenegro,FIFA World Cup qualification,Tórshavn,Faroe Islands,True,2017
India,Hong Kong,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
South Korea,Uzbekistan,AFC Asian Cup qualification,Pyongyang,North Korea,True,2017
Syria,Iran,AFC Asian Cup qualification,Hanoi,Vietnam,True,2017
Vietnam,Myanmar,AFC Asian Cup qualification,Hanoi,Vietnam,False,2017
Jordan,Philippines,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Tajikistan,United Arab Emirates,AFC Asian Cup qualification,Dushanbe,Tajikistan,False,2017
Bahrain,Iraq,AFC Asian Cup qualification,Dushanbe,Tajikistan,True,2017
Sweden,United States,Friendly,Göteborg,Sweden,False,2017
Norway,United States,Friendly,Sandefjord,Norway,False,2017
Netherlands,Norway,UEFA Euro,Utrecht,Netherlands,False,2017
Denmark,Belgium,UEFA Euro,Doetinchem,Netherlands,True,2017
Italy,Russia,UEFA Euro,Rotterdam,Netherlands,True,2017
Germany,Sweden,UEFA Euro,Breda,Netherlands,True,2017
Austria,Switzerland,UEFA Euro,Deventer,Netherlands,True,2017
France,Iceland,UEFA Euro,Tilburg,Netherlands,True,2017
Spain,Portugal,UEFA Euro,Doetinchem,Netherlands,True,2017
England,Scotland,UEFA Euro,Utrecht,Netherlands,True,2017
Norway,Belgium,UEFA Euro,Breda,Netherlands,True,2017
